Condition,Distance,Shirt,Helmet,Pants,Gloves,ReflectClips,Backpack
casual,132,Rugby,hat,plain,plain,no,yes
casual,137,Rugby,hat,plain,plain,no,yes
casual,174,Rugby,hat,plain,plain,no,yes
casual,82,Rugby,hat,plain,plain,no,yes
casual,106,Rugby,hat,plain,plain,no,yes
casual,48,Rugby,hat,plain,plain,no,yes
casual,131,Rugby,hat,plain,plain,no,yes
casual,86,Rugby,hat,plain,plain,no,yes
casual,162,Rugby,hat,plain,plain,no,yes
casual,175,Rugby,hat,plain,plain,no,yes
casual,17,Rugby,hat,plain,plain,no,yes
casual,108,Rugby,hat,plain,plain,no,yes
casual,133,Rugby,hat,plain,plain,no,yes
casual,69,Rugby,hat,plain,plain,no,yes
casual,117,Rugby,hat,plain,plain,no,yes
casual,132,Rugby,hat,plain,plain,no,yes
casual,61,Rugby,hat,plain,plain,no,yes
casual,145,Rugby,hat,plain,plain,no,yes
casual,150,Rugby,hat,plain,plain,no,yes
casual,91,Rugby,hat,plain,plain,no,yes
casual,143,Rugby,hat,plain,plain,no,yes
casual,179,Rugby,hat,plain,plain,no,yes
casual,111,Rugby,hat,plain,plain,no,yes
casual,59,Rugby,hat,plain,plain,no,yes
casual,149,Rugby,hat,plain,plain,no,yes
casual,126,Rugby,hat,plain,plain,no,yes
casual,137,Rugby,hat,plain,plain,no,yes
casual,127,Rugby,hat,plain,plain,no,yes
casual,158,Rugby,hat,plain,plain,no,yes
casual,77,Rugby,hat,plain,plain,no,yes
casual,114,Rugby,hat,plain,plain,no,yes
casual,137,Rugby,hat,plain,plain,no,yes
casual,156,Rugby,hat,plain,plain,no,yes
casual,153,Rugby,hat,plain,plain,no,yes
casual,97,Rugby,hat,plain,plain,no,yes
casual,81,Rugby,hat,plain,plain,no,yes
casual,83,Rugby,hat,plain,plain,no,yes
casual,122,Rugby,hat,plain,plain,no,yes
casual,150,Rugby,hat,plain,plain,no,yes
casual,245,Rugby,hat,plain,plain,no,yes
casual,208,Rugby,hat,plain,plain,no,yes
casual,112,Rugby,hat,plain,plain,no,yes
casual,174,Rugby,hat,plain,plain,no,yes
casual,106,Rugby,hat,plain,plain,no,yes
casual,158,Rugby,hat,plain,plain,no,yes
casual,124,Rugby,hat,plain,plain,no,yes
casual,146,Rugby,hat,plain,plain,no,yes
casual,148,Rugby,hat,plain,plain,no,yes
casual,175,Rugby,hat,plain,plain,no,yes
casual,160,Rugby,hat,plain,plain,no,yes
casual,187,Rugby,hat,plain,plain,no,yes
casual,148,Rugby,hat,plain,plain,no,yes
casual,128,Rugby,hat,plain,plain,no,yes
casual,166,Rugby,hat,plain,plain,no,yes
casual,144,Rugby,hat,plain,plain,no,yes
casual,102,Rugby,hat,plain,plain,no,yes
casual,144,Rugby,hat,plain,plain,no,yes
casual,115,Rugby,hat,plain,plain,no,yes
casual,143,Rugby,hat,plain,plain,no,yes
casual,96,Rugby,hat,plain,plain,no,yes
casual,134,Rugby,hat,plain,plain,no,yes
casual,98,Rugby,hat,plain,plain,no,yes
casual,113,Rugby,hat,plain,plain,no,yes
casual,114,Rugby,hat,plain,plain,no,yes
casual,105,Rugby,hat,plain,plain,no,yes
casual,117,Rugby,hat,plain,plain,no,yes
casual,122,Rugby,hat,plain,plain,no,yes
casual,124,Rugby,hat,plain,plain,no,yes
casual,105,Rugby,hat,plain,plain,no,yes
casual,82,Rugby,hat,plain,plain,no,yes
casual,90,Rugby,hat,plain,plain,no,yes
casual,127,Rugby,hat,plain,plain,no,yes
casual,143,Rugby,hat,plain,plain,no,yes
casual,124,Rugby,hat,plain,plain,no,yes
casual,146,Rugby,hat,plain,plain,no,yes
casual,122,Rugby,hat,plain,plain,no,yes
casual,122,Rugby,hat,plain,plain,no,yes
casual,107,Rugby,hat,plain,plain,no,yes
casual,89,Rugby,hat,plain,plain,no,yes
casual,144,Rugby,hat,plain,plain,no,yes
casual,121,Rugby,hat,plain,plain,no,yes
casual,89,Rugby,hat,plain,plain,no,yes
casual,91,Rugby,hat,plain,plain,no,yes
casual,143,Rugby,hat,plain,plain,no,yes
casual,140,Rugby,hat,plain,plain,no,yes
casual,139,Rugby,hat,plain,plain,no,yes
casual,118,Rugby,hat,plain,plain,no,yes
casual,92,Rugby,hat,plain,plain,no,yes
casual,171,Rugby,hat,plain,plain,no,yes
casual,109,Rugby,hat,plain,plain,no,yes
casual,167,Rugby,hat,plain,plain,no,yes
casual,122,Rugby,hat,plain,plain,no,yes
casual,102,Rugby,hat,plain,plain,no,yes
casual,125,Rugby,hat,plain,plain,no,yes
casual,126,Rugby,hat,plain,plain,no,yes
casual,95,Rugby,hat,plain,plain,no,yes
casual,133,Rugby,hat,plain,plain,no,yes
casual,121,Rugby,hat,plain,plain,no,yes
casual,111,Rugby,hat,plain,plain,no,yes
casual,92,Rugby,hat,plain,plain,no,yes
casual,148,Rugby,hat,plain,plain,no,yes
casual,123,Rugby,hat,plain,plain,no,yes
casual,79,Rugby,hat,plain,plain,no,yes
casual,91,Rugby,hat,plain,plain,no,yes
casual,135,Rugby,hat,plain,plain,no,yes
casual,114,Rugby,hat,plain,plain,no,yes
casual,126,Rugby,hat,plain,plain,no,yes
casual,92,Rugby,hat,plain,plain,no,yes
casual,88,Rugby,hat,plain,plain,no,yes
casual,146,Rugby,hat,plain,plain,no,yes
casual,99,Rugby,hat,plain,plain,no,yes
casual,117,Rugby,hat,plain,plain,no,yes
casual,58,Rugby,hat,plain,plain,no,yes
casual,76,Rugby,hat,plain,plain,no,yes
casual,133,Rugby,hat,plain,plain,no,yes
casual,126,Rugby,hat,plain,plain,no,yes
casual,142,Rugby,hat,plain,plain,no,yes
casual,52,Rugby,hat,plain,plain,no,yes
casual,54,Rugby,hat,plain,plain,no,yes
casual,85,Rugby,hat,plain,plain,no,yes
casual,120,Rugby,hat,plain,plain,no,yes
casual,133,Rugby,hat,plain,plain,no,yes
casual,84,Rugby,hat,plain,plain,no,yes
casual,148,Rugby,hat,plain,plain,no,yes
casual,128,Rugby,hat,plain,plain,no,yes
casual,107,Rugby,hat,plain,plain,no,yes
casual,111,Rugby,hat,plain,plain,no,yes
casual,109,Rugby,hat,plain,plain,no,yes
casual,128,Rugby,hat,plain,plain,no,yes
casual,146,Rugby,hat,plain,plain,no,yes
casual,152,Rugby,hat,plain,plain,no,yes
casual,135,Rugby,hat,plain,plain,no,yes
casual,137,Rugby,hat,plain,plain,no,yes
casual,159,Rugby,hat,plain,plain,no,yes
casual,133,Rugby,hat,plain,plain,no,yes
casual,87,Rugby,hat,plain,plain,no,yes
casual,111,Rugby,hat,plain,plain,no,yes
casual,59,Rugby,hat,plain,plain,no,yes
casual,54,Rugby,hat,plain,plain,no,yes
casual,89,Rugby,hat,plain,plain,no,yes
casual,112,Rugby,hat,plain,plain,no,yes
casual,125,Rugby,hat,plain,plain,no,yes
casual,106,Rugby,hat,plain,plain,no,yes
casual,109,Rugby,hat,plain,plain,no,yes
casual,117,Rugby,hat,plain,plain,no,yes
casual,64,Rugby,hat,plain,plain,no,yes
casual,142,Rugby,hat,plain,plain,no,yes
casual,144,Rugby,hat,plain,plain,no,yes
casual,120,Rugby,hat,plain,plain,no,yes
casual,145,Rugby,hat,plain,plain,no,yes
casual,128,Rugby,hat,plain,plain,no,yes
casual,137,Rugby,hat,plain,plain,no,yes
casual,137,Rugby,hat,plain,plain,no,yes
casual,100,Rugby,hat,plain,plain,no,yes
casual,150,Rugby,hat,plain,plain,no,yes
casual,58,Rugby,hat,plain,plain,no,yes
casual,135,Rugby,hat,plain,plain,no,yes
casual,119,Rugby,hat,plain,plain,no,yes
casual,98,Rugby,hat,plain,plain,no,yes
casual,133,Rugby,hat,plain,plain,no,yes
casual,129,Rugby,hat,plain,plain,no,yes
casual,59,Rugby,hat,plain,plain,no,yes
casual,153,Rugby,hat,plain,plain,no,yes
casual,91,Rugby,hat,plain,plain,no,yes
casual,91,Rugby,hat,plain,plain,no,yes
casual,133,Rugby,hat,plain,plain,no,yes
casual,64,Rugby,hat,plain,plain,no,yes
casual,155,Rugby,hat,plain,plain,no,yes
casual,120,Rugby,hat,plain,plain,no,yes
casual,157,Rugby,hat,plain,plain,no,yes
casual,128,Rugby,hat,plain,plain,no,yes
casual,101,Rugby,hat,plain,plain,no,yes
casual,128,Rugby,hat,plain,plain,no,yes
casual,106,Rugby,hat,plain,plain,no,yes
casual,136,Rugby,hat,plain,plain,no,yes
casual,116,Rugby,hat,plain,plain,no,yes
casual,106,Rugby,hat,plain,plain,no,yes
casual,92,Rugby,hat,plain,plain,no,yes
casual,128,Rugby,hat,plain,plain,no,yes
casual,133,Rugby,hat,plain,plain,no,yes
casual,133,Rugby,hat,plain,plain,no,yes
casual,137,Rugby,hat,plain,plain,no,yes
casual,112,Rugby,hat,plain,plain,no,yes
casual,114,Rugby,hat,plain,plain,no,yes
casual,119,Rugby,hat,plain,plain,no,yes
casual,97,Rugby,hat,plain,plain,no,yes
casual,139,Rugby,hat,plain,plain,no,yes
casual,122,Rugby,hat,plain,plain,no,yes
casual,89,Rugby,hat,plain,plain,no,yes
casual,79,Rugby,hat,plain,plain,no,yes
casual,139,Rugby,hat,plain,plain,no,yes
casual,77,Rugby,hat,plain,plain,no,yes
casual,80,Rugby,hat,plain,plain,no,yes
casual,85,Rugby,hat,plain,plain,no,yes
casual,183,Rugby,hat,plain,plain,no,yes
casual,116,Rugby,hat,plain,plain,no,yes
casual,118,Rugby,hat,plain,plain,no,yes
casual,98,Rugby,hat,plain,plain,no,yes
casual,114,Rugby,hat,plain,plain,no,yes
casual,136,Rugby,hat,plain,plain,no,yes
casual,113,Rugby,hat,plain,plain,no,yes
casual,115,Rugby,hat,plain,plain,no,yes
casual,104,Rugby,hat,plain,plain,no,yes
casual,110,Rugby,hat,plain,plain,no,yes
casual,142,Rugby,hat,plain,plain,no,yes
casual,70,Rugby,hat,plain,plain,no,yes
casual,124,Rugby,hat,plain,plain,no,yes
casual,118,Rugby,hat,plain,plain,no,yes
casual,122,Rugby,hat,plain,plain,no,yes
casual,120,Rugby,hat,plain,plain,no,yes
casual,136,Rugby,hat,plain,plain,no,yes
casual,156,Rugby,hat,plain,plain,no,yes
casual,165,Rugby,hat,plain,plain,no,yes
casual,128,Rugby,hat,plain,plain,no,yes
casual,135,Rugby,hat,plain,plain,no,yes
casual,133,Rugby,hat,plain,plain,no,yes
casual,112,Rugby,hat,plain,plain,no,yes
casual,127,Rugby,hat,plain,plain,no,yes
casual,122,Rugby,hat,plain,plain,no,yes
casual,146,Rugby,hat,plain,plain,no,yes
casual,136,Rugby,hat,plain,plain,no,yes
casual,118,Rugby,hat,plain,plain,no,yes
casual,117,Rugby,hat,plain,plain,no,yes
casual,179,Rugby,hat,plain,plain,no,yes
casual,149,Rugby,hat,plain,plain,no,yes
casual,128,Rugby,hat,plain,plain,no,yes
casual,89,Rugby,hat,plain,plain,no,yes
casual,128,Rugby,hat,plain,plain,no,yes
casual,118,Rugby,hat,plain,plain,no,yes
casual,154,Rugby,hat,plain,plain,no,yes
casual,132,Rugby,hat,plain,plain,no,yes
casual,170,Rugby,hat,plain,plain,no,yes
casual,146,Rugby,hat,plain,plain,no,yes
casual,152,Rugby,hat,plain,plain,no,yes
casual,201,Rugby,hat,plain,plain,no,yes
casual,121,Rugby,hat,plain,plain,no,yes
casual,127,Rugby,hat,plain,plain,no,yes
casual,114,Rugby,hat,plain,plain,no,yes
casual,73,Rugby,hat,plain,plain,no,yes
casual,114,Rugby,hat,plain,plain,no,yes
casual,158,Rugby,hat,plain,plain,no,yes
casual,105,Rugby,hat,plain,plain,no,yes
casual,103,Rugby,hat,plain,plain,no,yes
casual,17,Rugby,hat,plain,plain,no,yes
casual,120,Rugby,hat,plain,plain,no,yes
casual,112,Rugby,hat,plain,plain,no,yes
casual,156,Rugby,hat,plain,plain,no,yes
casual,133,Rugby,hat,plain,plain,no,yes
casual,142,Rugby,hat,plain,plain,no,yes
casual,169,Rugby,hat,plain,plain,no,yes
casual,165,Rugby,hat,plain,plain,no,yes
casual,167,Rugby,hat,plain,plain,no,yes
casual,126,Rugby,hat,plain,plain,no,yes
casual,123,Rugby,hat,plain,plain,no,yes
casual,137,Rugby,hat,plain,plain,no,yes
casual,154,Rugby,hat,plain,plain,no,yes
casual,115,Rugby,hat,plain,plain,no,yes
casual,64,Rugby,hat,plain,plain,no,yes
casual,74,Rugby,hat,plain,plain,no,yes
casual,77,Rugby,hat,plain,plain,no,yes
casual,161,Rugby,hat,plain,plain,no,yes
casual,153,Rugby,hat,plain,plain,no,yes
casual,120,Rugby,hat,plain,plain,no,yes
casual,135,Rugby,hat,plain,plain,no,yes
casual,162,Rugby,hat,plain,plain,no,yes
casual,102,Rugby,hat,plain,plain,no,yes
casual,73,Rugby,hat,plain,plain,no,yes
casual,117,Rugby,hat,plain,plain,no,yes
casual,145,Rugby,hat,plain,plain,no,yes
casual,137,Rugby,hat,plain,plain,no,yes
casual,124,Rugby,hat,plain,plain,no,yes
casual,146,Rugby,hat,plain,plain,no,yes
casual,131,Rugby,hat,plain,plain,no,yes
casual,98,Rugby,hat,plain,plain,no,yes
casual,163,Rugby,hat,plain,plain,no,yes
casual,150,Rugby,hat,plain,plain,no,yes
casual,166,Rugby,hat,plain,plain,no,yes
casual,132,Rugby,hat,plain,plain,no,yes
casual,137,Rugby,hat,plain,plain,no,yes
casual,143,Rugby,hat,plain,plain,no,yes
casual,112,Rugby,hat,plain,plain,no,yes
casual,59,Rugby,hat,plain,plain,no,yes
casual,156,Rugby,hat,plain,plain,no,yes
casual,50,Rugby,hat,plain,plain,no,yes
casual,133,Rugby,hat,plain,plain,no,yes
casual,115,Rugby,hat,plain,plain,no,yes
casual,106,Rugby,hat,plain,plain,no,yes
casual,137,Rugby,hat,plain,plain,no,yes
casual,118,Rugby,hat,plain,plain,no,yes
casual,148,Rugby,hat,plain,plain,no,yes
casual,115,Rugby,hat,plain,plain,no,yes
casual,142,Rugby,hat,plain,plain,no,yes
casual,188,Rugby,hat,plain,plain,no,yes
casual,120,Rugby,hat,plain,plain,no,yes
casual,144,Rugby,hat,plain,plain,no,yes
casual,52,Rugby,hat,plain,plain,no,yes
casual,125,Rugby,hat,plain,plain,no,yes
casual,105,Rugby,hat,plain,plain,no,yes
casual,145,Rugby,hat,plain,plain,no,yes
casual,99,Rugby,hat,plain,plain,no,yes
casual,158,Rugby,hat,plain,plain,no,yes
casual,96,Rugby,hat,plain,plain,no,yes
casual,78,Rugby,hat,plain,plain,no,yes
